Software version	Microsoft .Net Framework	Microsoft \.NET Framework ([\d.]+)
Software version	Microsoft SharePoint	MicrosoftSharePointTeamServices: ([\d.]+)
Software version	Apache HTTP Request Library	 mod_apreq\d-([\d./]+)
Software version	mod_fastcgi Apache 2 module	 mod_fastcgi/([\d.]+)
Software version	mod_jk	 mod_jk/([\d.]+)
Software version	mod_ssl	mod_ssl/([\d.]+)
Software version	mod_perl	mod_perl/([\d.]+)
Software version	Mustache.js	 mustache\.version\s*=\s*'([\d.]+)'
Software version	Mustache.js	 name:"mustache.js",version:"([\d.]+)"
Software version	nginx	nginx/([\d.]+)
Software version	IBM-NWeb	nweb/([\d.]+)
Software version	OpenCms	OpenCms/([\d.]+)
Software version	OpenResty	openresty/([\d.]+)
Software version	Omniture DC (Adobe)	 Omniture DC/([\d.]+)
Software version	OpenSSL	OpenSSL/([a-z\d.]+(-fips|-freebsd)?)
Software version	OpinionLab OnlineOpinion	OnlineOpinion\s+v([\d.]+)
Software version	Oracle Java	 Oracle Corporation ([\d\._])+
Software version	Oracle iPlanet	 Oracle-iPlanet-Web-Server/([\d.]+.*)
Software version	Oracle-Application-Server	Oracle-Application-Server-([\d.]+.*)
Software version	Oracle OpenSSO	 Oracle OpenSSO ([\d.]+.*)
Software version	Orion	Orion/([\d.]+)
Software version	Nexpose	NSC/([\d.]+) \(JVM\)
Software version	Perl	Perl/v([\d.]+)
Software version	PHP	 PHP/([\d]+[\.]+(?:[-\w\d\.]+)?)
Software version	Phusion Passenger	Phusion Passenger(?: \([a-zA-Z_/]+\))? ([\d.]+)
Software version	Prototype	Prototype\s*=\s*\{\s*Version:\s*["']([\d.]+)["']
Software version	Python	 Python/([\d.]+)
Software version	ReDoc	ReDoc Version:\s+([\d.\-rc]+)
Software version	Mendix RestServices	 RestServices(>|":\s*")([\d.]+)
Software version	Roxen CMS	>Roxen CMS<[\S\s]*?\|[\s\S]*?version ([\d.]+)
Software version	Ruby	Ruby/([\d.]+(?:/\d{4}-\d{2}-\d{2})?)
Software version	Generic Java Servlet engine (possibly JBoss)	Servlet[ /]([\d.]+)
Software version	Sitefinity CMS	 Sitefinity(\.Resources(,|%2c)( |\+|%20)Version(=|%3d))?\s*([\d.]+)
Software version	Sizzle CSS Selector Engine	  Sizzle (?:CSS Selector Engine[- ]*)?v([\d.]+(?:-\w+)?)
Software version	SOAP::Lite	  SOAP::Lite/Perl/([\d.]+)
Software version	Spray	spray-can/([\d.]+)
Software version	Squid Cache	 squid/([\d.]+)
Software version	Oracle iPlanet	 Sun-Java-System-Web-Server/([\d.]+.*)
Software version	Telerik	<!-- (20\d\d\.\d+\.\d+\.\d+) -->
Software version	JBoss (Tomcat)	 Tomcat-([\d.]+)
Software version	Tornado Server	 TornadoServer/([\d.]+)
Software version	Underscore.js	Underscore\.js ([\d.]+)
Software version	Undertow	X-Powered-By: Undertow/([\d.]+)
Software version	Microsoft CRM	var APPLICATION_FULL_VERSION = '([\d.]+)';
Software version	Varnish Cache	Varnish/([\d.]+)
Software version	Varnish Cache	([\d.]+) varnish
Software version	Generic	"version":\s*"([a-z0-9\.\+]+)"
Software version	Vegur Proxy	 Via: ([\d.]+) vegur
Software version	WEBrick	WEBrick/([\d.]+)
Software version	Python (Websockify)	 WebSockify Python/([\d.]+)
Software version	IBM WebSphere Application Server	WebSphere Application Server/([\d.]+)
Software version	WildFly	Server: WildFly/([\d.]+)
Software version	ASP.Net	X-AspNet-Version: ([\d.]+)
Software version	ASP.Net MVC Framework	X-AspNetMvc-Version: ([\d.]+)
Software version	Apache Cocoon	X-Cocoon-Version: ([\d.]+)
Software version	Outlook Web Access	  X-OWA-Version: ([\d.]+)
Software version	IBM TeaLeaf	 X-Tealeaf":"device\s+\(UIC\)\s+Lib/([\d.]+)
Software version	IBM TeaLeaf	 X-TeaLeaf-UIEventCapture-Version: ([\d.]+)
API key	Amazon Web Services	AKIA[0-9A-Z]{16}
API key	Google Cloud Platform	[0-9a-fA-F]{8}-[0-9a-fA-F]{4}-[0-9a-fA-F]{12}
API key	Google API key	AIza[0-9A-Za-z-_]{35}
API key	Secret key	SECRET\_KEY
